node_id,cluster_id,cluster_size
9345,0,1372
1155,0,1372
1156,0,1372
1157,0,1372
1158,0,1372
1161,0,1372
9355,0,1372
9362,0,1372
9366,0,1372
9374,0,1372
1184,0,1372
9376,0,1372
9382,0,1372
1190,0,1372
9384,0,1372
9385,0,1372
9400,0,1372
1211,0,1372
1219,0,1372
1221,0,1372
1222,0,1372
1223,0,1372
1224,0,1372
9422,0,1372
9426,0,1372
9428,0,1372
9429,0,1372
9432,0,1372
9433,0,1372
1240,0,1372
1255,0,1372
1257,0,1372
9450,0,1372
1268,0,1372
9465,0,1372
1274,0,1372
9467,0,1372
1276,0,1372
9469,0,1372
1287,0,1372
9480,0,1372
1288,0,1372
1292,0,1372
1293,0,1372
9486,0,1372
9487,0,1372
9485,0,1372
9489,0,1372
9492,0,1372
9493,0,1372
9494,0,1372
9495,0,1372
1304,0,1372
1303,0,1372
1306,0,1372
1309,0,1372
9502,0,1372
1322,0,1372
1330,0,1372
9522,0,1372
9524,0,1372
9526,0,1372
9528,0,1372
1336,0,1372
9530,0,1372
9532,0,1372
1340,0,1372
1342,0,1372
1345,0,1372
1348,0,1372
1350,0,1372
1360,0,1372
1365,0,1372
9561,0,1372
9562,0,1372
9566,0,1372
1385,0,1372
1387,0,1372
1390,0,1372
9593,0,1372
1403,0,1372
9603,0,1372
1412,0,1372
1415,0,1372
1422,0,1372
1423,0,1372
1431,0,1372
9636,0,1372
1448,0,1372
1450,0,1372
1451,0,1372
1452,0,1372
9646,0,1372
1456,0,1372
1458,0,1372
1462,0,1372
1463,0,1372
1465,0,1372
9658,0,1372
9659,0,1372
1472,0,1372
1474,0,1372
1480,0,1372
1483,0,1372
9677,0,1372
1485,0,1372
1487,0,1372
1492,0,1372
1503,0,1372
1507,0,1372
1518,0,1372
1522,0,1372
1525,0,1372
1527,0,1372
9721,0,1372
1532,0,1372
9725,0,1372
1561,0,1372
9756,0,1372
1572,0,1372
1579,0,1372
1583,0,1372
1585,0,1372
9779,0,1372
1592,0,1372
1599,0,1372
9792,0,1372
9791,0,1372
9794,0,1372
1603,0,1372
1607,0,1372
